assay_chembl_id,canonical_smiles,molecule_chembl_id,standard_value,value,ic50_nM,label,pIC50,potency_tier
CHEMBL693237,Cc1ccc2oc(-c3cccc(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1,CHEMBL324340,50000.0,50.0,50000.0,0,4.301029995663981,0
CHEMBL755012,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](NC(=O)CNC(=O)CCC(=O)NCC(=O)N[C@H]2CC[C@@]4(O)[C@H]6Cc7ccc(O)c8c7[C@@]4(CCN6C)[C@H]2O8)CC[C@@]3(O)[C@H]1C5,CHEMBL3350133,22.0,22.0,22.0,1,7.657577319177793,2
CHEMBL686356,CC(CCCc1cccnc1)NC(=O)c1ccc2nc3ccc(C(C)C)cc3c(=O)n2c1.Cl.Cl,CHEMBL1202755,8000.0,8.0,8000.0,0,5.096910013008056,0
CHEMBL706332,Cl.NCCn1nc2c3c(c(NCCCNCCO)ccc31)C(=O)c1c(O)ccc(O)c1-2,CHEMBL542565,870.0,8.7e-07,870.0,0,6.060480747381382,0
CHEMBL706332,CN(C)CCNCCNc1ccc2c3c(nn2CCN)-c2c(O)ccc(O)c2C(=O)c13.Cl,CHEMBL543512,930.0,9.3e-07,930.0,0,6.031517051446065,0
CHEMBL761371,S=C(NCN1CCOCC1)Nc1ccc(Br)cn1,CHEMBL296346,3800.0,3.8,3800.0,0,5.42021640338319,0
CHEMBL756997,S=C(NCN1CCOCC1)Nc1ccc(Br)cn1,CHEMBL296346,1000.0,1.0,1000.0,0,6.0,0
CHEMBL761371,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,CHEMBL129,4.0,0.004,4.0,1,8.397940008672037,2
CHEMBL756997,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,CHEMBL129,150.0,0.15,150.0,0,6.823908740944319,1
CHEMBL761369,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,CHEMBL129,6.0,0.006,6.0,1,8.221848749616356,2
CHEMBL759380,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,CHEMBL129,4.0,0.004,4.0,1,8.397940008672037,2
CHEMBL699874,COC(=O)CC[C@H](CCO)C[C@@H](C)[C@@H]1CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C(\C)[C@@H](OC)C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O1,CHEMBL140442,200.0,200.0,200.0,0,6.698970004336019,1
CHEMBL708367,COC(=O)CC[C@H](CCO)C[C@@H](C)[C@@H]1CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C(\C)[C@@H](OC)C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O1,CHEMBL140442,380.0,380.0,380.0,0,6.42021640338319,1
CHEMBL685976,CCc1cccn1C1=CC(C)(C)Oc2ccc(C#N)cc21,CHEMBL290133,20000.0,20.0,20000.0,0,4.698970004336019,0
CHEMBL688274,CCN(C(C)C)S(=O)(=O)CC[C@@H]1O[C@@H]1[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)(C)S(C)(=O)=O,CHEMBL86971,10.9,10.9,10.9,1,7.962573502059376,2
CHEMBL688273,CC(C)C(NC(=O)C[C@@H]1O[C@@H]1[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1)C(C)C,CHEMBL312911,20.0,20.0,20.0,1,7.698970004336019,2
CHEMBL768220,O=C(O)COc1c(F)cc(SCCNS(=O)(=O)c2ccc(Cl)cc2)cc1F,CHEMBL312763,340.0,3.4e-07,340.0,0,6.468521082957745,1
CHEMBL689457,COc1ccc(-c2cc(Oc3ccc([N+](=O)[O-])cc3)nnc2-c2ccc(OC)cc2)cc1,CHEMBL76526,630.0,0.63,630.0,0,6.200659450546418,0
CHEMBL702320,Cc1cc(COc2ccc(N3CC[C@H]([C@H](NC(=O)c4ccccc4)C(=O)NO)C3=O)cc2)c2ccccc2n1,CHEMBL302455,9100.0,9.1,9100.0,0,5.040958607678906,0
CHEMBL702320,COC(=O)N[C@H](C(=O)NO)[C@H]1CCN(c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1=O,CHEMBL60373,2650.0,2.65,2650.0,0,5.576754126063192,0
CHEMBL656173,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F)=C\C(=O)O,CHEMBL111217,6.8,6.8,6.8,1,8.167491087293763,2
CHEMBL702324,O=C(NO)[C@H]1CCC[C@@H]1C(=O)Nc1ccc(OCc2ccccc2)cc1,CHEMBL342713,50000.0,50.0,50000.0,0,4.301029995663981,0
CHEMBL621151,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL68920,300.0,0.3,300.0,0,6.522878745280337,1
CHEMBL845865,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL68920,300.0,0.3,300.0,0,6.522878745280337,1
CHEMBL615325,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL68920,7820.0,7.82,7820.0,0,5.106793246940152,0
CHEMBL615491,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL68920,2500.0,2.5,2500.0,0,5.6020599913279625,0
CHEMBL621151,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69960,40.0,0.04,40.0,1,7.397940008672037,2
CHEMBL683802,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69960,400.0,0.4,400.0,0,6.3979400086720375,1
CHEMBL615325,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69960,440.0,0.44,440.0,0,6.356547323513812,1
CHEMBL615491,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69960,1210.0,1.21,1210.0,0,5.91721462968355,0
CHEMBL685779,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,CHEMBL27759,5400.0,5.4,5400.0,0,5.267606240177032,0
CHEMBL818944,CCN1CCCC(N2C(=O)c3cccc4cc5ccccc5c(c34)C2=O)C1,CHEMBL166062,1650.0,1650.0,1650.0,0,5.782516055786093,0
CHEMBL744193,CCN1CCCC(N2C(=O)c3cccc4cc5ccccc5c(c34)C2=O)C1,CHEMBL166062,1185.0,1185.0,1185.0,0,5.926281649653878,0
CHEMBL707508,CCN1CCCC(N2C(=O)c3cccc4cc5ccccc5c(c34)C2=O)C1,CHEMBL166062,635.0,635.0,635.0,0,6.197226274708024,0
CHEMBL707507,CCN1CCCC(N2C(=O)c3cccc4cc5ccccc5c(c34)C2=O)C1,CHEMBL166062,609.0,609.0,609.0,0,6.215382707367125,0
CHEMBL824117,CCN1CCCC(N2C(=O)c3cccc4cc5ccccc5c(c34)C2=O)C1,CHEMBL166062,8760.0,8760.0,8760.0,0,5.057495893831919,0
CHEMBL818944,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1c1cccnc1,CHEMBL163792,2493.0,2493.0,2493.0,0,5.603277721496227,0
CHEMBL744193,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1c1cccnc1,CHEMBL163792,1939.0,1939.0,1939.0,0,5.712422190921295,0
CHEMBL707508,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1c1cccnc1,CHEMBL163792,544.0,544.0,544.0,0,6.2644011003018205,0
CHEMBL707507,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1c1cccnc1,CHEMBL163792,554.0,554.0,554.0,0,6.2564902352715706,0
CHEMBL824117,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1c1cccnc1,CHEMBL163792,25000.0,25000.0,25000.0,0,4.6020599913279625,0
CHEMBL784482,Cc1ccsc1C(=CCCN1CCC[C@H](C(=O)O)C1)c1sccc1C.Cl,CHEMBL556829,218.0,218.0,218.0,0,6.661543506395395,1
CHEMBL768652,CCC(CC)CN1CCN(S(=O)(=O)CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,CHEMBL1203068,5.14,5.14,5.14,1,8.289036881004725,2
CHEMBL763979,CCC(CC)CN1CCN(S(=O)(=O)CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,CHEMBL1203068,0.16,0.16,0.16,1,9.795880017344077,2
CHEMBL763981,CCC(CC)CN1CCN(S(=O)(=O)CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,CHEMBL1203068,0.04,0.04,0.04,1,10.397940008672036,2
CHEMBL763979,CCOC(=O)N1CCC(S(=O)(=O)CCCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1,CHEMBL112418,0.41,0.41,0.41,1,9.387216143280265,2
CHEMBL763979,Cl.Oc1nc2cc3cc(OCCCCc4nnnn4C4CCNCC4)ccc3[nH]c-2n1,CHEMBL1203045,5.33,5.33,5.33,1,8.273272790973428,2
CHEMBL770633,COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)NCCC(C)C)C2)cc(OC)c1OC,CHEMBL6202,140.0,0.14,140.0,0,6.853871964321762,1
CHEMBL764816,CCOC(=O)C(Cc1ccc(Cl)cc1)Nc1nc2ccc(OC)cc2s1,CHEMBL352998,230.0,0.23,230.0,0,6.638272163982407,1
CHEMBL764816,CCOC(=O)C(Cc1ccccc1)Nc1nc2cc(CC)ccc2s1,CHEMBL354415,12.0,0.012,12.0,1,7.920818753952375,2
CHEMBL764816,CC(C)c1ccc2oc(NC(Cc3cccc(Cl)c3)c3ccccn3)nc2c1,CHEMBL265475,5.0,0.005,5.0,1,8.301029995663981,2
CHEMBL760652,C[C@H]1[C@@H](OCCC2ON2C(=O)c2ccccc2O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,CHEMBL77052,4.25,4.25,4.25,1,8.371611069949688,2
CHEMBL691108,COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)N3CCCCC3)C2)cc(OC)c1OC,CHEMBL308930,95000.0,95.0,95000.0,0,4.022276394711152,0
