NSC #,BR:MCF7,BR:MDA-MB-231,BR:HS 578T,BR:BT-549,BR:T-47D,CNS:SF-268,CNS:SF-295,CNS:SF-539,CNS:SNB-19,CNS:SNB-75,CNS:U251,CO:COLO 205,CO:HCC-2998,CO:HCT-116,CO:HCT-15,CO:HT29,CO:KM12,CO:SW-620,LE:CCRF-CEM,LE:HL-60(TB),LE:K-562,LE:MOLT-4,LE:RPMI-8226,LE:SR,ME:LOX IMVI,ME:MALME-3M,ME:M14,ME:SK-MEL-2,ME:SK-MEL-28,ME:SK-MEL-5,ME:UACC-257,ME:UACC-62,ME:MDA-MB-435,ME:MDA-N,LC:A549/ATCC,LC:EKVX,LC:HOP-62,LC:HOP-92,LC:NCI-H226,LC:NCI-H23,LC:NCI-H322M,LC:NCI-H460,LC:NCI-H522,OV:IGROV1,OV:OVCAR-3,OV:OVCAR-4,OV:OVCAR-5,OV:OVCAR-8,OV:SK-OV-3,OV:NCI/ADR-RES,PR:PC-3,PR:DU-145,RE:786-0,RE:A498,RE:ACHN,RE:CAKI-1,RE:RXF 393,RE:SN12C,RE:TK-10,RE:UO-31,Drug name,PubChem SID,mean_pGI50,mean_BR,mean_LC,mean_CO,mean_ME,mean_OV,mean_RE,mean_PR,mean_LE,max_cancer,min_cancer,selectivity,sensitive_cancer,resistant_cancer,smiles
739,8.0,5.16,5.08,6.67,4.57,8.0,7.75,8.0,7.35,4.23,8.0,7.26,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.5,8.0,8.0,6.04,8.0,4.0,4.0,7.39,7.14,8.0,8.0,,8.0,7.3,8.0,4.0,8.0,7.89,5.74,8.0,7.09,8.0,7.4,8.0,7.35,8.0,8.0,8.0,8.0,8.0,8.0,7.53,8.0,8.0,4.0,8.0,4.0,8.0,aminopterin,67626.0,7.2277966101694915,5.896000000000001,7.113333333333334,7.894285714285714,6.73,7.821428571428571,6.94125,8.0,7.916666666666667,8.0,5.896000000000001,2.103999999999999,PR,BR,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N
740,7.599999999999999,3.5999999999999996,3.5999999999999996,4.72,5.16,7.599999999999999,7.599999999999999,7.599999999999999,3.5999999999999996,3.79,7.599999999999999,5.44,7.599999999999999,8.29,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,8.41,6.31,7.05,7.599999999999999,3.5999999999999996,5.84,7.599999999999999,6.59,7.319999999999999,7.599999999999999,7.599999999999999,7.599999999999999,4.91,7.599999999999999,7.13,3.5999999999999996,7.599999999999999,5.0,7.599999999999999,7.599999999999999,7.599999999999999,5.79,3.5999999999999996,7.37,7.599999999999999,5.56,3.5999999999999996,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,6.64,3.5999999999999996,7.599999999999999,4.68,4.38,Methotrexate,67627.0,6.539666666666666,4.936,6.515555555555554,7.39,6.711,5.874285714285714,6.2124999999999995,7.599999999999999,7.734999999999999,7.734999999999999,4.936,2.7989999999999995,LE,BR,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
4320,8.0,9.76,8.0,8.0,10.26,10.93,10.69,10.69,8.0,8.0,10.39,9.96,8.0,11.01,8.0,8.0,10.04,10.5,8.0,8.0,8.0,8.0,10.43,8.0,10.58,10.57,8.0,8.0,10.19,10.58,10.09,10.21,8.0,10.4,11.35,11.160000000000002,10.9,10.23,8.0,8.0,10.800000000000002,11.04,11.160000000000002,8.0,8.0,8.0,10.45,10.48,10.37,10.94,8.0,8.0,8.0,10.24,11.04,10.87,8.0,8.0,10.61,10.46,Strophanthin,70646.0,9.456333333333333,8.803999999999998,10.293333333333333,9.358571428571427,9.662,9.462857142857144,9.6525,8.0,8.405,10.293333333333333,8.0,2.293333333333333,LC,PR,CC1C(C(CC(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3(C2)O)O)C6=CC(=O)OC6)C)C=O)OC)OC7C(C(C(C(O7)CO)O)O)O
7525,7.599999999999999,9.41,,,8.67,7.599999999999999,7.599999999999999,10.0,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,10.0,7.599999999999999,9.2,9.02,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,9.34,,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,9.72,10.0,10.0,7.599999999999999,10.0,7.599999999999999,7.599999999999999,7.599999999999999,10.0,10.0,transvaalin,73371.0,8.065964912280702,8.56,7.599999999999999,7.6,8.128888888888888,7.6,8.799999999999999,9.86,7.999999999999999,9.86,7.599999999999999,2.2600000000000007,PR,LC,CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)OC7C(C(C(C(O7)CO)O)O)O)O
19912,8.3,12.0,,,12.0,8.3,12.0,8.3,12.0,8.3,8.3,8.3,8.3,8.3,12.0,8.3,8.3,8.3,8.3,8.3,12.0,8.3,8.3,12.0,8.3,8.3,12.0,8.3,8.3,12.0,8.3,8.3,12.0,12.0,8.3,12.0,8.3,12.0,12.0,8.3,8.3,8.3,8.3,8.3,12.0,8.3,8.3,8.3,8.3,8.3,12.0,12.0,12.0,8.3,12.0,8.3,8.3,8.3,12.0,8.3,Cryptopleurine,82656.0,9.575862068965515,10.766666666666666,9.533333333333333,8.828571428571427,9.780000000000001,8.828571428571427,9.6875,12.0,9.533333333333333,12.0,8.828571428571427,3.1714285714285726,PR,CO,COC1=CC2=C(C=C1)C3=C(CC4CCCCN4C3)C5=CC(=C(C=C52)OC)OC
26540,5.69,6.56,6.3,6.7,6.23,5.68,5.67,5.81,5.94,5.88,5.69,6.36,5.46,6.93,5.84,6.57,6.01,7.63,7.93,7.85,7.89,8.0,8.0,8.0,6.68,6.72,6.42,6.35,6.51,6.65,6.49,6.32,6.27,5.8,5.82,6.2,5.73,6.62,5.61,6.28,5.82,6.15,5.75,6.78,6.78,7.23,6.11,5.82,5.07,5.75,6.23,5.55,6.53,5.64,6.43,8.0,6.3,6.42,5.97,5.85,"2-methyl-4,5,6-trichloropyrimidine",87401.0,6.387833333333335,6.296,5.997777777777778,6.4,6.420999999999999,6.22,6.3925,5.890000000000001,7.945,7.945,5.890000000000001,2.0549999999999997,LE,PR,CC1=NC(=C(C(=N1)Cl)Cl)Cl
29630,8.0,4.0,5.09,4.36,4.0,7.55,7.7,8.0,7.64,7.95,7.37,7.07,7.66,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.04,8.0,4.0,6.5,7.29,4.0,7.95,8.0,,8.0,4.8,7.18,4.15,7.13,7.76,7.88,8.0,7.43,8.0,7.04,6.83,4.15,8.0,5.58,8.0,8.0,8.0,8.0,7.47,8.0,8.0,5.14,8.0,4.17,8.0,dichloroamethopterin,89195.0,7.031864406779662,5.09,6.925555555555556,7.818571428571429,6.42,6.799999999999999,7.0975,8.0,8.0,8.0,5.09,2.91,PR,BR,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=C(C=C(C=C3Cl)C(=O)NC(CCC(=O)O)C(=O)O)Cl
63701,7.349999999999999,10.0,,10.0,,7.349999999999999,7.349999999999999,8.35,6.510000000000001,7.54,6.71,7.349999999999999,7.05,8.35,7.63,7.73,7.419999999999999,7.349999999999999,7.349999999999999,8.36,7.349999999999999,7.66,7.489999999999999,10.0,7.349999999999999,8.35,9.75,7.489999999999999,7.23,7.349999999999999,7.349999999999999,8.35,10.0,10.0,7.0,7.349999999999999,7.349999999999999,12.35,7.41,7.07,7.349999999999999,7.349999999999999,7.349999999999999,8.35,7.56,7.419999999999999,6.68,7.349999999999999,7.349999999999999,8.35,10.0,10.0,10.0,7.349999999999999,10.0,8.35,7.5,7.23,9.39,7.260000000000001,vengicide,110120.0,8.037758620689655,9.116666666666665,7.842222222222222,7.554285714285714,8.322,7.58,8.385000000000002,10.0,8.034999999999998,10.0,7.554285714285714,2.4457142857142857,PR,CO,C1=C(C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)N)C#N
65104,8.21,11.0,6.76,11.0,6.5,6.6,10.0,8.3,10.0,11.0,8.3,8.3,10.0,8.3,7.379999999999999,11.0,8.3,8.3,7.1,8.3,7.55,8.92,8.3,6.370000000000001,10.0,8.3,11.0,11.0,7.69,8.3,9.94,8.3,11.0,11.0,8.3,8.3,10.0,8.3,10.0,11.0,8.3,8.3,9.63,8.3,10.0,10.0,8.3,8.3,9.84,8.3,11.0,11.0,6.65,8.3,11.0,11.0,10.0,8.24,6.75,8.3,septacidin,301149.0,8.9955,8.693999999999999,9.125555555555556,8.797142857142857,9.653,9.005714285714287,8.780000000000001,11.0,7.756666666666668,11.0,7.756666666666668,3.2433333333333323,PR,LE,CC(C)CCCCCCCCCCCCC(=O)NCC(=O)NC1C(C(C(OC1C(CO)O)NC2=NC=NC3=C2NC=N3)O)O
67574,9.0,7.0,7.0,7.0,3.9700000000000006,7.0,7.0,7.0,7.52,6.34,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,5.71,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.46,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,5.33,7.0,5.34,7.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,8.31,7.0,5.71,Vincristine,112141.0,6.994833333333333,6.794,6.94,7.0,7.071000000000001,6.524285714285715,7.0025,9.0,7.0,9.0,6.524285714285715,2.475714285714285,PR,OV,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O
